,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
1,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-800-SR3.root,hfail,Signal_gluino-800,HSCP gluino 800 GeV,,,lnN,,,1.018
2,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-800-SR3.root,hfail_PUsyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,PUsyst,
3,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-800-SR3.root,hfail_PUsyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,PUsyst,
4,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-800-SR3.root,hfail_Fsyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,Fsyst,
5,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-800-SR3.root,hfail_Fsyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,Fsyst,
6,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-800-SR3.root,hfail_Gsyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,Gsyst,
7,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-800-SR3.root,hfail_Gsyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,Gsyst,
8,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-800-SR3.root,hfail_Triggersyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,Triggersyst,
9,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-800-SR3.root,hfail_Triggersyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,Triggersyst,
10,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-800-SR3.root,hfail_Ptsyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,Ptsyst,
11,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-800-SR3.root,hfail_Ptsyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,Ptsyst,
12,HSCP_gluino-800,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-800-SR3.root,hfail,Signal_gluino-800,HSCP gluino 800 GeV,,,,,,
13,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-1000-SR3.root,hfail,Signal_gluino-1000,HSCP gluino 1000 GeV,,,lnN,,,1.018
14,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1000-SR3.root,hfail_PUsyst_up,Signal_gluino-1000,HSCP gluino 1000 GeV,,Up,shapes,1.0,PUsyst,
15,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1000-SR3.root,hfail_PUsyst_down,Signal_gluino-1000,HSCP gluino 1000 GeV,,Down,shapes,1.0,PUsyst,
16,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1000-SR3.root,hfail_Fsyst_up,Signal_gluino-1000,HSCP gluino 1000 GeV,,Up,shapes,1.0,Fsyst,
17,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1000-SR3.root,hfail_Fsyst_down,Signal_gluino-1000,HSCP gluino 1000 GeV,,Down,shapes,1.0,Fsyst,
18,HSCP_gluino-1000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1000-SR3.root,hfail_Gsyst_up,Signal_gluino-1000,HSCP gluino 1000 GeV,,Up,shapes,1.0,Gsyst,
